textid	text	target
1	Ényí Angélique Kijo lɛ́ yí ajɔ ɔ́ ɖò azǎn 26ɔ́ aluunsùn ɔ́ tɔn gbadanu ɔ́ " hǔn è ná bló atinkpavi ɛnɛgɔ́ ɔ́ níí .	SCONJ PROPN PROPN DET VERB NOUN DET ADP NOUN NUM PROPN DET ADJ NOUN DET PUNCT NOUN PRON VERB VERB NOUN ADV DET ADP PUNCT
2	Amɔ̌ có nǔ ná nyí mɔ̌ ɔ́ " é ná tó xò nyà nǔbaɖabaɖa Awɔnlin nù ɔ́ hwɛ̌ " é wɛ́ ɖù baba nú " Afrofusion Burna Boy " " ɖò akpáxwé han è gbɛ ɔ́ bǐ tuun ɔ́ tɔn xwè élɔ́ .	CCONJ ADP NOUN VERB AUX ADV DET PUNCT PRON VERB ADV VERB AUX NOUN NOUN ADP DET ADV PUNCT PRON VERB VERB PROPN ADP PUNCT PROPN PROPN PROPN PUNCT PUNCT VERB NOUN ADV PRON NOUN DET ADJ ADV DET ADJ NOUN ADJ PUNCT
3	Gbɔn gbetakɛ́n è xixa tɔn nyí EP21 - 2 ɔ́ gblamɛ ɔ́ " sɛ́n dódó gbásá ɔ́ ɖè nyǐ dotóoxwé tɔnjɛji ée ná gbéjé lanmɛ kpɔ́n nú yemɛ è xwè agbahwlɛnhwlɛn tògán sísɔ́ tɔn ɖò azǎn 11ɔ́ lidósùn xwè 2021ɔ́ tɔn gbè lɛ́ɛ é .	NOUN NOUN PRON NOUN ADJ AUX PROPN PUNCT NUM DET ADP DET PUNCT NOUN ADV NOUN DET VERB AUX NOUN ADJ PRON VERB VERB NOUN ADV ADP PRON PRON NOUN NOUN NOUN NOUN ADJ ADP NOUN NUM PROPN NOUN NUM ADJ NOUN DET PART PUNCT
4	Dotóo gán ɖokpó kpódó mɛ ée xò kpó ɖó níí ɔ́ kpán nú akpáxwé ayizɛn ée kan mɛ gbéjé gbéjé kpɔ́n sín nǔwíwá ɔ́ é .	NOUN NOUN NUM CCONJ NOUN PRON VERB VERB VERB PART DET CCONJ ADP NOUN NOUN PRON ADV PRON VERB NOUN ADJ ADP NOUN DET PART PUNCT
5	Ɖò sɛ́nkwín atɔngɔ́ ɔ́ gbetakɛ́n nɛ́ tɔn mɛ̀ ɔ́ " azɔ̌ è nyí yetɔn ɔ́ wɛ́ nyí ye ná sɔ́ gbɛta dotóo lɛ́ɛ tɔn ɖò tè : dotóo tɔnjɛji Lucien Dòsú - Yovo " dotóoxwé Louis Pasteur ée ɖò Xɔgbonu é tɔn .	ADP NOUN NUM DET VERB ADJ ADJ ADP DET PUNCT NOUN PRON AUX ADJ DET VERB AUX PRON VERB VERB NOUN ADV DET ADJ ADP VERB PUNCT ADV ADJ PROPN PROPN PUNCT PROPN PUNCT NOUN PROPN PROPN PRON VERB PROPN PART ADJ PUNCT
6	È bó lɛ́ xà : Mɛ ka nyí Sakina " nyɔ̌nu akowunka Woria tɔn ɔ́ ? Aklunɔzángbla we gudo ɔ́ " éyɛ́ è jɛ nyǐ " Akowunka Woria tɔn " ɔ́ " wá Kutɔnu bó wá kpé tògán ɔ́ .	PRON ADP ADV VERB PUNCT NOUN ADV AUX PROPN PUNCT NOUN NOUN PROPN ADJ DET PUNCT NOUN NUM ADV DET PUNCT PRON PRON VERB AUX PUNCT NOUN PROPN ADJ PUNCT DET PUNCT VERB PROPN ADP VERB VERB NOUN DET PUNCT
7	Hɛ̌n(NUM)ɔ tɔn kpɛɖé kpódó gǎn - hɔn - yì - tɔ́ ée nɔ́ kpénúkún dó nunɔmɛ gbɛtɔ́ lɛ́ɛ tɔn kpódó akwɛ́ nyinya kpán wú ɔ́ xwédó è bó kplɛ́ yì tògán ɔ́ gɔ́n bɛ́ dógbè níí ɖó tò ɔ́ bǐ tamɛ .	NOUN ADJ ADV CCONJ NOUN PUNCT VERB PUNCT VERB PUNCT ADJ PRON AUX VERB ADP NOUN NOUN DET ADJ CCONJ NOUN AUX CCONJ ADP DET VERB PRON CCONJ VERB VERB NOUN DET VERB CCONJ ADV ADP VERB NOUN DET ADJ PROPN PUNCT
8	Patrice TALƆN yí nawe ví ɔ́ sín jǒnɔ ɖò tògán ɔ́ gbásá ɖò fúfónu kplé gǎn - hɔn - yì - tɔ́ lɛ́ɛ tɔn ɖò azǎn azǎngagbè avùvɔ̀ xwè 2020ɔ́ tɔn .	PROPN PROPN VERB VERB ADP DET ADV NOUN ADP NOUN DET NOUN ADP NOUN VERB NOUN PUNCT VERB PUNCT VERB PUNCT ADJ DET ADJ VERB NOUN NOUN PROPN NOUN NUM ADJ PUNCT
9	Tògán gbɔn yɛkan ɔ́ mɛ̀ bó dà tòví lɛ́ɛ bǐ ɖɔ ye ní jɛhun dó mɛhwɛngán zɔ́ ɔ́ wú lě ye kpéwú gbɔn lé hwe tɔn nù .	NOUN ADV NOUN DET ADP ADP VERB NOUN DET ADJ ADV PRON ADP VERB ADP NOUN ADV DET ADP ADJ PRON VERB ADP ADV NOUN ADJ ADP PUNCT
10	Lě è ná wlibo nú mɔzo ná xwé ɔ́ gbɔn ɔ́ " mɛ ée gbá é wɛ́ ɖɔ " bɔ è sɔ́ dó alɔ mɛ nú gbɛta ée tuun azɔ̌ nɛ́ ɔ́ céɖé céɖé é bɔ lě é ná bló gbɔn bɔ mɔzo ɔ́ ná sú déjí ɔ́ wɛ́ nɔ́ mya núkún níí .	ADJ PRON VERB VERB ADP NOUN VERB NOUN DET ADP DET PUNCT NOUN PRON VERB PRON VERB ADJ PUNCT CCONJ PRON VERB VERB NOUN PRON ADP NOUN PRON VERB NOUN ADJ DET ADJ ADJ ADP CCONJ ADJ PRON VERB VERB ADP CCONJ NOUN DET VERB VERB VERB DET VERB VERB ADV NOUN ADP PUNCT
