textid	text	target
1	Nwokolo kwuru na arịrịọ a bụ n’ ihi mkpamkpa ide mmiri kpara n’ ala anyị n’ oge gara aga , ma rụtụkwa aka otu e si tufuo ndụ ọtụtụ mmadụ ma tinyekwara ngwongwo ndị mmadụ ruru ijeri kwuru ijeri naịra n’ ihi ide mmiri .	PROPN VERB CCONJ VERB DET VERB ADP ADP NOUN NOUN NOUN VERB ADP NOUN PRON ADP NOUN VERB PART PUNCT SCONJ VERB NOUN ADV PRON VERB VERB NOUN DET NOUN CCONJ VERB NOUN DET NOUN VERB NUM ADP NUM NOUN ADP ADP NOUN NOUN PUNCT
2	Ọtụtụ obodo n’ Anambra West’ na ndị nọ n’ okpuru ọchịchị Ogbaru na steeti ahụ bụ ndị ide mmiri wakporo na nso nso a ebe ha nọ tufuo ọtụtụ ubi na ụlọ .	DET NOUN ADP PROPN PROPN CCONJ PRON VERB ADP NOUN NOUN PROPN ADP NOUN DET VERB PRON NOUN NOUN VERB ADP ADV ADV DET NOUN PRON VERB VERB DET NOUN CCONJ NOUN PUNCT
3	Onye ụkọchukwu a dụrụ ndị niile bi n’ ụdị ebe ahụ ọdụ ka ha nabata ndụmọdụ nke ndị ọkachamara n’ ihe gbasara ide mmiri .	NOUN NOUN DET VERB PRON DET VERB ADP ADJ NOUN DET NOUN ADP PRON VERB NOUN DET DET NOUN ADP NOUN ADP NOUN NOUN PUNCT
4	Ụmụakwụkwọ ibe ya chọpụtara nke a n’ ihe dịka elekere iri nke ụtụtụ ụbọchị Monde ọnwa Septemba dị na mkpụrụụbọchị iri , ka ha gara ịgwa ya ka ọ gbatulata ụda egwu na- akụ n’ ime ụlọ ya .	NOUN NOUN PRON VERB PRON DET ADP NOUN ADP NOUN NUM ADP NOUN NOUN PROPN NOUN PROPN VERB ADP NOUN NUM PUNCT SCONJ PRON VERB VERB PRON ADP PRON VERB NOUN NOUN AUX VERB ADP NOUN NOUN PRON PUNCT
5	Nwa akwụkwọ ọzọ nọ n’ afọ nke ikpeazu kwuru si ; “ kemgbe izuụka abụọ gara aga , Oteh bidoro na- akpa agwa n’ ụzọ edochaghị anya .	NOUN NOUN ADJ VERB ADP NOUN DET NOUN VERB VERB PUNCT PUNCT ADV NOUN NUM VERB PART PUNCT PROPN VERB AUX VERB NOUN ADP NOUN VERB NOUN PUNCT
6	O bidoro na- agara onwe ya . ”	PRON VERB AUX VERB NOUN PRON PUNCT PUNCT
7	Otu osila dị , ndị uweoji steeti Enugu , ngalaba Thinkers Corner’ eburula ozu ya bụ nwata akwụkwọ ma kpọrọkwa ụmụakwụkwọ ise bụ ndị ga- enyere ha aka ime nnyocha .	ADV VERB VERB PUNCT DET NOUN NOUN PROPN PUNCT NOUN PROPN PROPN VERB NOUN PRON VERB NOUN NOUN CCONJ VERB NOUN NUM VERB PRON AUX VERB PRON NOUN VERB NOUN PUNCT
8	OBODO juru nnọọ kpụmkpụm dịka ndị ntorobịa Ọmambala zukọrọ ma nuputakwa n’ ịgwè wee merùbe mmemme iri ji ọhụụ ha nke ahọ 2018 .	NOUN VERB ADV ADV ADP DET NOUN PROPN VERB CCONJ VERB ADP NOUN VERB VERB NOUN VERB NOUN ADJ PRON ADP NOUN NUM PUNCT
9	Ya bụ nnukwu mmemme bụ nke weere ọnọdụ n’ ogbe Igboezunu Agụleri dị n’ okpuru ọchịchị Anambra East’ nke steeti Anambra , ma bụrụkwa nke dọtara ọtụtụ ndị dị iche iche e ji okwu ha agba izù na steeti ahụ .	PRON VERB ADJ NOUN VERB DET VERB NOUN ADP NOUN PROPN PROPN VERB ADP NOUN NOUN PROPN PROPN ADP NOUN PROPN ADP CCONJ VERB PRON VERB DET PRON VERB ADJ ADJ PRON VERB NOUN PRON VERB NOUN ADP NOUN DET PUNCT
10	N’ okwu nke ya , onyeisi nchere oge n’ okpuru ọchịchị Anambra West n’ oge gara aga , bụ Maazị Tony- Collins Nwabụnwanne , kọwara mmemme ahụ dịka nke magburu onwe ya , tòó ezi mmekọrịta dị n’ etiti ndị ntorobịa okpuru ọchịchị niile ahụ , ma kpọọ oku ka a kwàlite nke ahụ iji mee ka o guzosie ike .	ADP NOUN DET PRON PUNCT NOUN NOUN NOUN ADP NOUN NOUN PROPN PROPN ADP NOUN VERB PART PUNCT VERB NOUN PROPN PROPN PROPN PUNCT VERB NOUN DET ADP PRON VERB NOUN PRON PUNCT VERB ADJ NOUN VERB ADP NOUN DET NOUN NOUN NOUN DET DET PUNCT CCONJ VERB NOUN ADP PRON VERB PRON DET VERB VERB ADP PRON VERB NOUN PUNCT
11	ỤKỌCHUKWU St . Jude Thaddeus Catholic Church , Inoma , nke di na mpaghara Anambra West’ nke Anambra Steeti , Rev .	NOUN NOUN PUNCT PROPN PROPN NOUN NOUN PUNCT PROPN PUNCT DET VERB ADP NOUN PROPN PROPN ADP PROPN NOUN PUNCT NOUN PUNCT
12	Fr . Charles Chukwukelue Ebele , ka ekwuru na ndụ ya funarịrị ya na ihe mberede ụgbọ mmiri .	NOUN PUNCT PROPN PROPN PROPN PUNCT ADP VERB SCONJ NOUN PRON VERB PRON ADP NOUN NOUN NOUN NOUN PUNCT
13	Onye hụrụ mgbe ihe mberede a mere bụ Azubuike Okwuoto Imoka , kwuru na enyị ụkọchukwu na ya onwe ya nọkwazi na ụgbọ ahụ mgbe ihe mberede a mere mana n’ ihi na ọ nyere enyị ya life jacket’ , o wee bụrụ onye na enwetaghị enyemaka mgbe ụgbọ a kpuru .	NOUN VERB ADV NOUN NOUN DET VERB VERB PROPN PROPN PROPN PUNCT VERB CCONJ NOUN NOUN CCONJ PRON NOUN PRON VERB ADP NOUN DET ADV NOUN NOUN DET VERB SCONJ ADP ADP ADP PRON VERB NOUN PRON NOUN NOUN PUNCT PRON VERB VERB NOUN ADP VERB NOUN ADV NOUN DET VERB PUNCT
14	Ndị Anambra State Emergency Agency' SEMA , ka agwara maka ihe mberede a dịka ndị isi kwuru na ha ga- eme ihe ọbụla ha ga- eme iji wee bute ozu ya .	DET PROPN NOUN NOUN NOUN PROPN PUNCT ADP VERB ADP NOUN NOUN DET ADP DET NOUN VERB CCONJ PRON AUX VERB NOUN DET PRON AUX VERB VERB VERB VERB NOUN PRON PUNCT
15	OTU na- ekwuru ndị onweghị onye na- ekwuru ha , ndị nke a maara dịka Human Diginity Restoration Association HDRA ekwela nkwa ịhazị ikpe n’ efu maka ndị nga mmadụ asaa n’ ụlọmkpọrọ dị n’ Onitsha na steeti Anambra .	NOUN AUX VERB DET VERB NOUN AUX VERB PRON PUNCT PRON DET PRON VERB ADP NOUN NOUN NOUN NOUN PROPN VERB NOUN VERB NOUN ADP NOUN ADP DET NOUN NOUN NUM ADP NOUN VERB ADP PROPN ADP NOUN PROPN PUNCT
16	Ndị otu a kwuru na ihe kpalitere ha ime nke a bụ n’ ihi ụfọdụ ndị nga bụ ndị a na- atụkpu ma gbahapụ n’ enweghị onye ọ bụna na- abịa maka ịgbapụta ha afọ kwuru afọ .	DET NOUN DET VERB CCONJ NOUN VERB PRON VERB PRON DET VERB ADP ADP DET DET NOUN VERB PRON PRON AUX VERB CCONJ VERB ADP VERB NOUN PRON DET AUX VERB ADP VERB PRON NOUN ADP NOUN PUNCT
17	Ọ kpọrọ aha otu onye n’ ime ndị nga ahụ dịka Onyebuchi Onyema , onye nke si steeti Abia , bụ onye nke a tụkpuru n’ ihi ohi ịgbawa ụzọ burglary’ .	PRON VERB NOUN NUM NOUN ADP NOUN DET NOUN DET ADP PROPN PROPN PUNCT NOUN DET VERB NOUN PROPN PUNCT VERB NOUN DET PRON VERB ADP ADP NOUN VERB NOUN NOUN PUNCT
18	Achebe rụtụrụ aka na oge ikpeazu ya bụ onye nga pụtara n’ ụlọikpe bụ n’ ọnwa Aprel 2016 ; ebe Abraham Okeke , onye Obosi , nke dị n’ okpuru ọchịchị Idemmiri North na steeti Anambra , bụ onye nke a tụpkuru n’ ihi igwu wayo Advanced Fee Fraud 419 bịara ikpeazu n’ ụlọikpe n’ ọnwa Ọgọstụ 2015 .	PROPN VERB NOUN ADP NOUN NOUN PRON VERB NOUN NOUN VERB ADP NOUN VERB ADP NOUN PROPN NUM PUNCT NOUN PROPN PROPN PUNCT NOUN PROPN PUNCT DET VERB ADP NOUN NOUN PROPN PROPN ADP NOUN PROPN PUNCT VERB NOUN DET PRON VERB ADP ADP VERB NOUN ADJ ADJ NOUN NUM VERB NOUN ADP NOUN ADP NOUN PROPN NUM PUNCT
19	ONYE isi ụlọakwụkwọ Migrant Farmers Children School , Aguibeje , Enugu Ezike na steeti Enugu bụ Nathaniel Idoko , abụrụla onye e nyere oche azụ n’ ọlụ site n’ aka ndị na- ahụ maka agụmakwụkwọ Enugu State Universal Basic Education Board ENSUBEB , maka ịdakpo na imetọ ụmụakwụkwọ ụmụnwanyị anọ n’ ụlọakwụkwọ ya .	NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT PROPN PUNCT PROPN PROPN ADP NOUN PROPN VERB PROPN PROPN PUNCT VERB NOUN PRON VERB NOUN NOUN ADP NOUN ADP ADP NOUN PRON AUX VERB ADP NOUN PROPN NOUN ADJ ADJ NOUN NOUN PROPN PUNCT ADP VERB CCONJ VERB NOUN NOUN NUM ADP NOUN PRON PUNCT
20	A nọkwazịrị na mmemme ahụ kesàá akwụkwọ bànyere mkparịta ụbụbọ na nkwekọrịta dị iche iche e nwere na nzùkọ ahụ n’ etiti steeti abụọ ahụ .	PRON VERB ADP NOUN DET VERB NOUN ADP NOUN NOUN CCONJ NOUN VERB ADJ ADJ PRON VERB ADP NOUN DET ADP NOUN NOUN NUM DET PUNCT
21	Ọ bụ n’ ọnwa Ọgọstụ ka Idoko , onye nke gbara afọ iri ise jiri aghụghọ kpọrọ ụmụaka anọ nọ n’ ụlọakwụkwọ ya bụ ndị dị agbata afọ anọ ruo n’ afọ isii , wee baa n’ ime ọhịa ebe ọ nọ wee metọọ ha .	PRON VERB ADP NOUN PROPN ADP PROPN PUNCT NOUN DET VERB NOUN NUM NUM VERB NOUN VERB NOUN NUM VERB ADP NOUN PRON VERB PRON VERB NOUN NOUN NUM VERB ADP NOUN NUM PUNCT SCONJ VERB ADP NOUN NOUN NOUN PRON VERB VERB VERB PRON PUNCT
22	Onye isi oche otu ENSUBEB bụ Ikeje Asogwa , kwuru sị ; “ anyị enyela ya oche azụ n’ ọlụ , e nwekwara ike ịchụ ya achụ .	NOUN NOUN NOUN NOUN PROPN VERB PROPN PROPN PUNCT VERB VERB PUNCT PUNCT PRON VERB PRON NOUN NOUN ADP NOUN PUNCT PRON VERB NOUN VERB PRON PART PUNCT
23	Ọ bụ ihe ihere site n’ aka onye kwesiri ichekwa ụmụaka ahụ .	PRON VERB NOUN NOUN ADP ADP NOUN NOUN VERB VERB NOUN DET PUNCT
24	Anyị anaghị anabata ụdị agwa a . ”	PRON AUX VERB ADJ NOUN DET PUNCT PUNCT
25	N’ otu aka ahụkwa , onye kọmishọna na- ahụ maka agụmakwụkwọ na steeti ahụ bụ Ọkammụta Pat Eze kwuru na ya bụ ihe bụ arụ nke kwesịrị ntaramahụhụ .	ADP NUM NOUN DET PUNCT NOUN NOUN AUX VERB ADP NOUN ADP NOUN DET VERB NOUN PROPN PROPN VERB CCONJ PRON VERB NOUN VERB NOUN PRON VERB NOUN PUNCT
26	Ọ gara n’ ihu kwuo na ntị anụbeghị ụdị ihe dị otu ahụ .	PRON VERB ADP NOUN VERB CCONJ NOUN VERB ADJ NOUN VERB ADV DET PUNCT
27	Ọ bụ otu onye nne ụmụaka ahụ Idoko metọrọ chọpụtara nke a nke mere ka ụwa mata arụ ahụ .	PRON VERB NUM NOUN NOUN NOUN DET PROPN VERB VERB PRON DET PRON VERB ADP NOUN VERB NOUN DET PUNCT
28	Nwanyị ahụ ka a kọwara na ọ hụrụ ọbara n’ ihe nwa ya jiri bụrụ nwanyị nke mere ka ọ jụba nwa ya ihe merenụ .	NOUN DET ADP PRON VERB CCONJ VERB VERB NOUN ADP NOUN NOUN PRON VERB VERB NOUN DET VERB ADP PRON VERB NOUN PRON NOUN VERB PUNCT
29	Nwatakiri ahụ kọọrọ nne ya otu onye isi ụlọakwụkwọ ha siri kpọrọ ha baa n’ ime ọhịa ebe ọ nọrọ wee metọọ ha ma kwe ha nkwa izụtara ha ihe na ime ka ha gbaa ndị mbụ na klassị ha dị iche iche nke ga- eme ka ha gaa ibe ha .	NOUN DET VERB NOUN PRON ADV NOUN NOUN NOUN PRON VERB VERB PRON VERB ADP NOUN NOUN NOUN PRON VERB VERB VERB PRON CCONJ VERB PRON NOUN VERB PRON NOUN CCONJ VERB ADP PRON VERB PRON ADJ ADP NOUN PRON VERB ADJ ADJ DET AUX VERB ADP PRON VERB NOUN PRON PUNCT
30	O kwuru na ụlọakụ a bụ otu n’ ime ihe mmemme atọ nke ngalaba ọlụ ugbo SME nke gọọmenti steeti ahụ kwadoolu site n’ aka ndị Central Bank of Nigeria’ .	PRON VERB CCONJ NOUN DET VERB NUM ADP NOUN NOUN NOUN NUM DET NOUN NOUN NOUN PROPN ADP NOUN NOUN DET VERB ADP ADP NOUN DET ADJ NOUN ADP PROPN PUNCT
31	Kọmishona kọwara na gọọmentị , site n’ ọba ego , nyere ngalaba SME ndị ọzọ ego ka ha nwee ike ịgbazite ego bụ nke enweghị ike igbazite na Commercial Banks’ .	NOUN VERB CCONJ NOUN PUNCT ADP ADP NOUN NOUN PUNCT VERB NOUN PROPN PRON ADJ NOUN ADP PRON VERB NOUN VERB NOUN VERB DET VERB NOUN VERB ADP ADJ NOUN PUNCT
